StartDate,CanBook,Location,Title
"2025-07-24T00:00:00",true,"Buçaquinho Park, Cortegaça, Portugal.","PARTICIPANT REGISTRATION 16th World Scout Moot, Portugal 2025."
"2025-07-24T00:00:00",false,"Buçaquinho Park, Cortegaça, Portugal.","INTERNATIONAL SERVICE TEAM REGISTRATION 16th World Scout Moot, Portugal 2025."
"2025-07-09T00:00:00",true,"LOUGH DAN                     ","Patrols in Action (General Staff Bookings)"
"2025-06-30T00:00:00",false,"Saas Fee – Valais, Switzerland","Alpine Moot 2025"
"2025-04-23T00:00:00",false,"Glen Nevis Caravan & Camping Park","Mountain Havoc GB (Scotland)"
"2025-04-23T00:00:00",true,"Glen Nevis Caravan & Camping Park","Mountain Havoc GB (Scotland) STAFF ONLY"
"2025-04-18T00:00:00",true,"Gartan Outdoor Education Centre, Church Hill Co. Donegal F92 T853","PEAK 2025"
"2025-04-12T00:00:00",true,"The Osprey Hotel","Ceiliúradh"
"2025-03-07T00:00:00",false,"Cronins Yard Mealis, Beaufort, Killarney, Co. Kerry","Mountain Havoc Munster"
"2025-02-14T00:00:00",false,"Iceland","Crean Challenge 2025 ADULTS"
"2024-11-15T00:00:00",false,"Achill Island","National Mountain Moot 2024"
"2024-11-08T00:00:00",false,"National College Of Ireland","National Youth Assembly"
"2024-10-25T00:00:00",false,"Spike Island Cobh Co Cork","Rover Survivor Challenge - 2024"
"2024-09-27T00:00:00",false,"Bloody bridge backpackers 77 Ballagh Rd, Newcastle BT33 0LA, United Kingdom","Ulster Mountain Havoc"
"2024-08-30T00:00:00",false,"Lough Dan Scouting Centre","National Venture Sword"
"2024-08-15T00:00:00",false,"Munster Agricultural Showgrounds, Curraheen, Cork.","The Phoenix Challenge 2024 (Adult Staff Registration)"
"2024-07-22T00:00:00",false,"Norway","Roverway 2024 -bookings for Ventures & Rovers only"
"2024-07-22T00:00:00",false,"Norway","Roverway 2024 BOOKINGS FOR IST ONLY"
"2024-07-18T00:00:00",false,"Somewhere in Ireland ?","Venture Challenge 2024"
"2024-06-21T00:00:00",false,"Larch Hill International Scout Centre","Additional Scouter for National Cub Challenge 2024"
"2024-06-21T00:00:00",false,"Larch Hill International Scout Centre","STAFF -National Cub Challenge 2024"
"2024-04-12T00:00:00",false,"Curraghcase Limerick","Bivvy and BBQ 2024"
